" Vet-ICD-O-canine-1, First Edition ",,,,,,
Vet-ICD-O-canine-1 code,Group,Term,level,Topography,obs,
8000/0,"Neoplasms, NOS","Neoplasm, benign",Preferred,,,
8000/1,"Neoplasms, NOS","Neoplasm, uncertain whether benign or malignant",Preferred,,,
8000/3,"Neoplasms, NOS","Neoplasm, malignant",Preferred,,,
8000/6,"Neoplasms, NOS","Neoplasm, metastatic",Preferred,,,
8000/9,"Neoplasms, NOS","Neoplasm, malignant, uncertain whether primary or metastatic",Preferred,,,
8001/0,"Neoplasms, NOS","Tumor cells, benign",Preferred,,,
8001/1,"Neoplasms, NOS","Tumor cells, uncertain whether benign or malignant",Preferred,,,
8001/3,"Neoplasms, NOS","Tumor cells, malignant",Preferred,,,
8002/3,"Neoplasms, NOS","Malignant tumor, small cell type",Preferred,,,
8003/3,"Neoplasms, NOS","Malignant tumor, giant cell type",Preferred,,,
8004/3,"Neoplasms, NOS","Malignant tumor, spindle cell type",Preferred,,,
8005/0,"Neoplasms, NOS","Clear cell tumor, NOS",Preferred,,,
8005/3,"Neoplasms, NOS","Malignant tumor, clear cell type",Preferred,,,
8006.1/1,"Neoplasms, NOS","Round cell tumor, NOS",Preferred,,,
8010/2,"Epithelial neoplasms, NOS","Carcinoma in situ, NOS",Preferred,,,
8010/3,"Epithelial neoplasms, NOS","Carcinoma, NOS",Preferred,,,
8010/3,"Epithelial neoplasms, NOS","Epithelial tumor, malignant",Synonym,,,
8010/6,"Epithelial neoplasms, NOS","Carcinoma, metastatic, NOS",Preferred,,,
8010/9,"Epithelial neoplasms, NOS",Carcinomatosis,Preferred,,,
8012/3,"Epithelial neoplasms, NOS","Large cell carcinoma, NOS",Preferred,,,
8013/3,"Epithelial neoplasms, NOS",Large cell neuroendocrine carcinoma,Preferred,,,
8020/3,"Epithelial neoplasms, NOS","Carcinoma, undifferentiated, NOS",Preferred,,,
8020/3,"Epithelial neoplasms, NOS","Carcinoma, poorly differentiated",Synonym,,,
8020/3,"Epithelial neoplasms, NOS","Carcinoma, dedifferentiated",Synonym,,,
8021/3,"Epithelial neoplasms, NOS","Carcinoma, anaplastic, NOS",Preferred,,,
8031/3,"Epithelial neoplasms, NOS",Giant cell carcinoma,Preferred,,,
8032/3,"Epithelial neoplasms, NOS","Spindle cell carcinoma, NOS",Preferred,,,
8032/3,"Epithelial neoplasms, NOS","Spindle cell squamous cell carcinoma       ",Related,,,
8041/3,"Epithelial neoplasms, NOS",Small cell neuroendocrine carcinoma,Preferred,,,
8041/3,"Epithelial neoplasms, NOS","Small cell carcinoma, NOS",Synonym,,,
8050/0,"Epithelial neoplasms, NOS","Papilloma, NOS",Preferred,,,
8050/3,"Epithelial neoplasms, NOS",Papillary adenocarcinoma,Preferred,,,
8051/3,"Epithelial neoplasms, NOS",Verrucous squamous cell carcinoma,Preferred,,,
8051/3,"Epithelial neoplasms, NOS","Verrucous carcinoma, NOS",Synonym,,,
8052/0,"Epithelial neoplasms, NOS",Squamous papilloma,Preferred,,,
8052/0,"Epithelial neoplasms, NOS",Squamous cell papilloma,Synonym,,,
8052/0,"Epithelial neoplasms, NOS",Reactive papilloma,Related,"(C69.0, C69.01)",,
8052/3,"Epithelial neoplasms, NOS",Papillary squamous cell carcinoma,Preferred,,,
8053/0,"Epithelial neoplasms, NOS","Squamous cell papilloma, inverted",Preferred,,,
